hit	hit	hit	hit	hit	hit	hit	hit	hit	hit
hit	hit	hit	hit	hit	hit	hit	hit	hit	hit
hit	hit	hit	hit	hit	hit	hit	hit	hit	hit
hit	hit	hit	hit	hit	hit	hit	hit	hit	hit
hit	hit	hit	hit	hit	hit	hit	hit	hit	hit
hit	double	double	double	double	hit	hit	hit	hit	hit
double	double	double	double	double	double	double	hit	hit	hit
double	double	double	double	double	double	double	double	double	double
hit	hit	stand	stand	stand	hit	hit	hit	hit	hit
stand	stand	stand	stand	stand	hit	hit	hit	hit	hit
stand	stand	stand	stand	stand	hit	hit	hit	hit	hit
stand	stand	stand	stand	stand	hit	hit	hit	surrender	hit
stand	stand	stand	stand	stand	hit	hit	surrender	surrender	surrender
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
hit	hit	hit	hit	hit	hit	hit	hit	hit	hit
hit	hit	hit	double	double	hit	hit	hit	hit	hit
hit	hit	hit	double	double	hit	hit	hit	hit	hit
hit	hit	double	double	double	hit	hit	hit	hit	hit
hit	hit	double	double	double	hit	hit	hit	hit	hit
hit	double	double	double	double	hit	hit	hit	hit	hit
hit	double	double	double	double	stand	stand	hit	hit	hit
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
stand	stand	stand	stand	stand	stand	stand	stand	stand	stand
